processed_text,count,x_cluster,y_cluster,wordnet
b,2,-0.07868345250492635,-0.35027117492319426,bacteria
c,2,0.018194522664973622,-0.7724578537328501,bacteria
chuncks,1,-0.4286998281642771,-0.6629077175090615,bacteria
csi,1,-0.6770914395336513,-1.9294642413928562,bacteria
expos,1,2.0724368753234557,-2.8577018412418074,bacteria
flora,1,-1.0352523938448697,1.18856089901643,bacteria
hum,2,-1.0621850793511696,-0.15011568782904694,bacteria
im,1,-0.7641642206988294,2.150854673388042,bacteria
lern,1,-0.5848092888194683,3.250214759628532,bacteria
mist,1,-0.7932750039216663,0.15824160380352378,bacteria
mole,1,-1.026077076461483,0.11654525696796322,bacteria
ot,1,0.3519575874985881,-0.6443538841855969,bacteria
ram,1,-1.3667193906778408,-0.4757907016558797,bacteria
ranger,1,-0.22786654770567713,-0.5430383269613407,bacteria
sens,2,1.5785079017062158,-0.16174493342977755,bacteria
sth,1,-0.17986090482005798,-0.06103584353952102,bacteria
v,1,-0.6418181311127881,-0.07713246593828639,bacteria
̬re,1,4.845405870423476,1.8215974795347325,bacteria
